nim,ipk,total_sks,program_akselerasi
2101010113,0.83,80,Tidak
2101010114,1.23,49,Tidak
2101010115,3.81,126,Ya
2101010117,2.78,62,Tidak
2101010119,3.45,129,Tidak
2101010120,3.1,124,Tidak
2101010130,0.0,19,Tidak
2101010131,3.34,19,Tidak
2101010132,2.97,122,Tidak
2101010133,3.41,129,Tidak
2101010134,2.73,64,Tidak
2101010135,3.31,144,Tidak
2101010136,3.47,129,Tidak
2101010137,2.49,91,Tidak
2101010138,3.59,129,Tidak
2101010139,3.38,126,Tidak
2101010140,3.11,118,Tidak
2101010141,1.61,19,Tidak
2101010142,1.0,19,Tidak
2101010144,3.16,129,Tidak
2101010145,3.52,129,Tidak
2101010146,3.08,126,Tidak
2101010148,1.7,93,Tidak
2101010149,3.37,126,Tidak
2101010150,3.8,129,Ya
2101010151,3.33,126,Tidak
2101010152,3.32,121,Tidak
2101010153,3.43,129,Tidak
2101010154,2.69,96,Tidak
2101010156,3.02,123,Tidak
2101010157,3.71,129,Ya
2101010158,1.98,57,Tidak
2101010159,1.76,95,Tidak
2101010161,1.18,51,Tidak
2101010163,1.58,86,Tidak
2101010183,2.99,124,Tidak
2101010184,3.03,123,Tidak
2101010185,2.73,115,Tidak
2101010186,3.56,126,Tidak
2101010187,1.67,98,Tidak
2101010188,3.85,129,Ya
2101010189,1.68,41,Tidak
2101010190,1.27,86,Tidak
2101010191,1.83,41,Tidak
2101010192,1.85,99,Tidak
2101010193,2.51,110,Tidak
2101010194,3.78,124,Ya
2101010195,3.36,124,Tidak
2101010196,3.55,129,Tidak
2101010197,3.35,126,Tidak
2101010198,3.5,121,Tidak
2101010199,3.79,124,Ya
2101010200,2.5,108,Tidak
2101010201,3.52,124,Tidak
2101010202,3.75,130,Ya
2101010203,2.43,88,Tidak
2101010204,3.64,129,Ya
2101010205,3.29,124,Tidak
2101010206,3.29,124,Tidak
2101010207,3.5,124,Tidak
2101010208,1.64,82,Tidak
2101010209,3.45,129,Tidak
2101010210,3.08,116,Tidak
2101010211,3.65,127,Ya
2101010212,3.39,123,Tidak
2101010213,2.28,94,Tidak
2101010214,3.26,127,Tidak
2101010248,1.17,54,Tidak
2101010249,3.34,100,Tidak
2101010250,0.47,19,Tidak
2101010252,3.18,121,Tidak
2101010254,3.83,129,Ya
2101010255,2.57,109,Tidak
2101010256,3.67,129,Ya
2101010257,0.32,19,Tidak
2101010258,3.1,110,Tidak
2101010259,1.77,69,Tidak
2101010260,2.84,111,Tidak
2101010261,0.29,31,Tidak
2101010262,3.47,129,Tidak
2101010263,3.6,124,Ya
2101010266,3.82,138,Ya
2101010267,3.67,144,Ya
2101010268,3.7,144,Ya
2101010270,3.38,144,Tidak
2101011215,3.72,43,Tidak
2101011216,3.36,87,Tidak
2101011217,3.31,139,Tidak
2101011218,3.59,87,Tidak
2101011219,0.0,19,Tidak
2101011220,3.27,127,Tidak
2101011221,3.71,138,Ya
2101011224,2.13,85,Tidak
2101011225,3.52,129,Tidak
2101011226,1.65,43,Tidak
2101011227,3.67,144,Ya
2101011229,3.58,110,Tidak
2101011231,3.56,135,Tidak
2101011264,3.59,90,Tidak
2101011265,2.43,78,Tidak
2101011269,2.87,121,Tidak
2101011272,3.37,127,Tidak
